c:\b&k_app\vp7790\320.dta

- Profile -

Overload occurred	Yes
Low battery occurred	No
Number of pauses	None
Profile sample interval	5 s
Frequency weighting for RMS	A
First datapoint listed	1 : 17832

Datapoint	Flags (OBPZ)	Date	Time	Leq	CPEAK
1	 ----	13.05.2002	09:09:00	 58,6	 84,6
2	 ----	13.05.2002	09:09:05	 65,4	 96,4
3	 ----	13.05.2002	09:09:10	 62,4	 89,0
4	 ----	13.05.2002	09:09:15	 62,1	 90,6
5	 ----	13.05.2002	09:09:20	 63,0	 85,9
6	 ----	13.05.2002	09:09:25	 57,8	 92,5
7	 ----	13.05.2002	09:09:30	 61,0	 92,5
8	 ----	13.05.2002	09:09:35	 59,0	 93,1
9	 ----	13.05.2002	09:09:40	 69,1	 90,1
10	 ----	13.05.2002	09:09:45	 66,5	 100,4
11	 ----	13.05.2002	09:09:50	 64,4	 93,2
12	 ----	13.05.2002	09:09:55	 67,9	 104,4
13	 ----	13.05.2002	09:10:00	 72,6	 109,8
14	 ----	13.05.2002	09:10:05	 70,7	 92,5
15	 ----	13.05.2002	09:10:10	 69,9	 102,6
16	 ----	13.05.2002	09:10:15	 ---,-	 ---,-
17	 ----	13.05.2002	09:10:20	 ---,-	 86,7
18	 ----	13.05.2002	09:10:25	 ---,-	 85,5
19	 ----	13.05.2002	09:10:30	 55,4	 85,0
20	 ----	13.05.2002	09:10:35	 58,0	 89,3
21	 ----	13.05.2002	09:10:40	 ---,-	 ---,-
22	 ----	13.05.2002	09:10:45	 ---,-	 ---,-
23	 ----	13.05.2002	09:10:50	 62,0	 88,1
24	 ----	13.05.2002	09:10:55	 77,4	 98,1
25	 ----	13.05.2002	09:11:00	 71,7	 91,9
26	 ----	13.05.2002	09:11:05	 66,4	 90,8
27	 ----	13.05.2002	09:11:10	 56,7	 ---,-
28	 ----	13.05.2002	09:11:15	 62,2	 99,5
29	 ----	13.05.2002	09:11:20	 58,4	 ---,-
30	 ----	13.05.2002	09:11:25	 65,3	 88,6
31	 ----	13.05.2002	09:11:30	 65,2	 89,2
32	 ----	13.05.2002	09:11:35	 58,5	 ---,-
33	 ----	13.05.2002	09:11:40	 ---,-	 ---,-
34	 ----	13.05.2002	09:11:45	 56,3	 ---,-
35	 ----	13.05.2002	09:11:50	 ---,-	 ---,-
36	 ----	13.05.2002	09:11:55	 ---,-	 ---,-
37	 ----	13.05.2002	09:12:00	 62,5	 85,4
38	 ----	13.05.2002	09:12:05	 60,6	 85,4
39	 ----	13.05.2002	09:12:10	 57,0	 ---,-
40	 ----	13.05.2002	09:12:15	 60,2	 94,7
41	 ----	13.05.2002	09:12:20	 65,7	 88,9
42	 ----	13.05.2002	09:12:25	 66,9	 86,6
43	 ----	13.05.2002	09:12:30	 57,1	 83,5
44	 ----	13.05.2002	09:12:35	 ---,-	 ---,-
45	 ----	13.05.2002	09:12:40	 ---,-	 ---,-
46	 ----	13.05.2002	09:12:45	 56,0	 89,5
47	 ----	13.05.2002	09:12:50	 ---,-	 ---,-
48	 ----	13.05.2002	09:12:55	 ---,-	 ---,-
49	 ----	13.05.2002	09:13:00	 ---,-	 ---,-
50	 ----	13.05.2002	09:13:05	 ---,-	 ---,-
51	 ----	13.05.2002	09:13:10	 ---,-	 ---,-
52	 ----	13.05.2002	09:13:15	 63,2	 87,6
53	 ----	13.05.2002	09:13:20	 74,1	 97,5
54	 ----	13.05.2002	09:13:25	 67,4	 91,8
55	 ----	13.05.2002	09:13:30	 ---,-	 ---,-
56	 ----	13.05.2002	09:13:35	 61,9	 86,2
57	 ----	13.05.2002	09:13:40	 71,3	 94,0
58	 ----	13.05.2002	09:13:45	 66,6	 89,9
59	 ----	13.05.2002	09:13:50	 60,4	 ---,-
60	 ----	13.05.2002	09:13:55	 55,9	 ---,-
61	 ----	13.05.2002	09:14:00	 ---,-	 ---,-
62	 ----	13.05.2002	09:14:05	 64,9	 87,6
63	 ----	13.05.2002	09:14:10	 ---,-	 ---,-
64	 ----	13.05.2002	09:14:15	 65,8	 92,8
65	 ----	13.05.2002	09:14:20	 68,4	 90,9
66	 ----	13.05.2002	09:14:25	 58,4	 ---,-
67	 ----	13.05.2002	09:14:30	 60,1	 83,9
68	 ----	13.05.2002	09:14:35	 59,3	 86,2
69	 ----	13.05.2002	09:14:40	 ---,-	 ---,-
70	 ----	13.05.2002	09:14:45	 ---,-	 ---,-
71	 ----	13.05.2002	09:14:50	 71,5	 91,4
72	 ----	13.05.2002	09:14:55	 64,8	 87,6
73	 ----	13.05.2002	09:15:00	 65,2	 91,1
74	 ----	13.05.2002	09:15:05	 75,5	 95,0
75	 ----	13.05.2002	09:15:10	 63,5	 92,6
76	 ----	13.05.2002	09:15:15	 59,8	 ---,-
77	 ----	13.05.2002	09:15:20	 55,9	 ---,-
78	 ----	13.05.2002	09:15:25	 60,2	 92,0
79	 ----	13.05.2002	09:15:30	 60,6	 ---,-
80	 ----	13.05.2002	09:15:35	 57,7	 ---,-
81	 ----	13.05.2002	09:15:40	 57,5	 ---,-
82	 ----	13.05.2002	09:15:45	 57,4	 ---,-
83	 ----	13.05.2002	09:15:50	 56,7	 ---,-
84	 ----	13.05.2002	09:15:55	 56,6	 ---,-
85	 ----	13.05.2002	09:16:00	 ---,-	 ---,-
86	 ----	13.05.2002	09:16:05	 64,8	 86,2
87	 ----	13.05.2002	09:16:10	 ---,-	 ---,-
88	 ----	13.05.2002	09:16:15	 63,1	 87,9
89	 ----	13.05.2002	09:16:20	 61,2	 83,4
90	 ----	13.05.2002	09:16:25	 60,4	 84,4
91	 ----	13.05.2002	09:16:30	 59,2	 83,9
92	 ----	13.05.2002	09:16:35	 62,7	 85,3
93	 ----	13.05.2002	09:16:40	 63,0	 83,9
94	 ----	13.05.2002	09:16:45	 67,0	 89,4
95	 ----	13.05.2002	09:16:50	 68,2	 91,8
96	 ----	13.05.2002	09:16:55	 56,5	 ---,-
97	 ----	13.05.2002	09:17:00	 61,1	 ---,-
98	 ----	13.05.2002	09:17:05	 56,8	 ---,-
99	 ----	13.05.2002	09:17:10	 60,3	 84,4
100	 ----	13.05.2002	09:17:15	 61,1	 83,3
101	 ----	13.05.2002	09:17:20	 58,9	 85,3
102	 ----	13.05.2002	09:17:25	 ---,-	 ---,-
103	 ----	13.05.2002	09:17:30	 70,2	 102,8
104	 ----	13.05.2002	09:17:35	 64,2	 86,5
105	 ----	13.05.2002	09:17:40	 58,7	 ---,-
106	 ----	13.05.2002	09:17:45	 66,3	 88,8
107	 ----	13.05.2002	09:17:50	 59,7	 84,4
108	 ----	13.05.2002	09:17:55	 64,5	 88,5
109	 ----	13.05.2002	09:18:00	 65,4	 93,6
110	 ----	13.05.2002	09:18:05	 65,6	 89,1
111	 ----	13.05.2002	09:18:10	 63,2	 88,8
112	 ----	13.05.2002	09:18:15	 56,8	 ---,-
113	 ----	13.05.2002	09:18:20	 55,0	 ---,-
114	 ----	13.05.2002	09:18:25	 ---,-	 ---,-
115	 ----	13.05.2002	09:18:30	 57,7	 84,4
116	 ----	13.05.2002	09:18:35	 60,8	 ---,-
117	 ----	13.05.2002	09:18:40	 ---,-	 ---,-
118	 ----	13.05.2002	09:18:45	 55,4	 ---,-
119	 ----	13.05.2002	09:18:50	 55,4	 ---,-
120	 ----	13.05.2002	09:18:55	 61,5	 85,7
121	 ----	13.05.2002	09:19:00	 62,6	 89,1
122	 ----	13.05.2002	09:19:05	 61,4	 ---,-
123	 ----	13.05.2002	09:19:10	 ---,-	 ---,-
124	 ----	13.05.2002	09:19:15	 58,2	 ---,-
125	 ----	13.05.2002	09:19:20	 ---,-	 ---,-
126	 ----	13.05.2002	09:19:25	 ---,-	 ---,-
127	 ----	13.05.2002	09:19:30	 57,6	 ---,-
128	 ----	13.05.2002	09:19:35	 62,1	 84,8
129	 ----	13.05.2002	09:19:40	 65,7	 88,5
130	 ----	13.05.2002	09:19:45	 ---,-	 ---,-
131	 ----	13.05.2002	09:19:50	 ---,-	 ---,-
132	 ----	13.05.2002	09:19:55	 ---,-	 ---,-
133	 ----	13.05.2002	09:20:00	 ---,-	 ---,-
134	 ----	13.05.2002	09:20:05	 ---,-	 ---,-
135	 ----	13.05.2002	09:20:10	 ---,-	 83,3
136	 ----	13.05.2002	09:20:15	 ---,-	 ---,-
137	 ----	13.05.2002	09:20:20	 ---,-	 ---,-
138	 ----	13.05.2002	09:20:25	 59,8	 85,7
139	 ----	13.05.2002	09:20:30	 63,6	 100,3
140	 ----	13.05.2002	09:20:35	 ---,-	 84,4
141	 ----	13.05.2002	09:20:40	 ---,-	 84,4
142	 ----	13.05.2002	09:20:45	 ---,-	 83,3
143	 ----	13.05.2002	09:20:50	 56,3	 ---,-
144	 ----	13.05.2002	09:20:55	 62,9	 91,1
145	 ----	13.05.2002	09:21:00	 63,0	 84,4
146	 ----	13.05.2002	09:21:05	 56,0	 ---,-
